time,w_expl_0,w_expl_1,w_RK2_0,w_RK2_1,exact_solution_0,exact_solution_1
0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
0.050000,1.000000,0.050000,0.998750,0.050000,0.998750,0.049979
0.100000,0.997500,0.100000,0.995002,0.099875,0.995004,0.099833
0.150000,0.992500,0.149875,0.988764,0.149500,0.988771,0.149438
0.200000,0.985006,0.199500,0.980053,0.198752,0.980067,0.198669
0.250000,0.975031,0.248750,0.968890,0.247506,0.968912,0.247404
0.300000,0.962594,0.297502,0.955304,0.295641,0.955336,0.295520
0.350000,0.947719,0.345632,0.939328,0.343037,0.939373,0.342898
0.400000,0.930437,0.393017,0.921002,0.389574,0.921061,0.389418
0.450000,0.910786,0.439539,0.900372,0.435137,0.900447,0.434966
0.500000,0.888809,0.485079,0.877490,0.479612,0.877583,0.479426
0.550000,0.864555,0.529519,0.852412,0.522887,0.852525,0.522687
0.600000,0.838079,0.572747,0.825202,0.564854,0.825336,0.564642
0.650000,0.809442,0.614651,0.795928,0.605408,0.796084,0.605186
0.700000,0.778709,0.655123,0.764663,0.644448,0.764842,0.644218
0.750000,0.745953,0.694058,0.731485,0.681875,0.731689,0.681639
0.800000,0.711250,0.731356,0.696476,0.717597,0.696707,0.717356
0.850000,0.674683,0.766919,0.659726,0.751524,0.659983,0.751280
0.900000,0.636337,0.800653,0.621325,0.783571,0.621610,0.783327
0.950000,0.596304,0.832470,0.581370,0.813658,0.581683,0.813416
1.000000,0.554681,0.862285,0.539960,0.841709,0.540302,0.841471
1.050000,0.511566,0.890019,0.497200,0.867655,0.497571,0.867423
1.100000,0.467065,0.915597,0.453196,0.891430,0.453596,0.891207
1.150000,0.421285,0.938950,0.408058,0.912976,0.408487,0.912764
1.200000,0.374338,0.960015,0.361899,0.932237,0.362358,0.932039
1.250000,0.326337,0.978732,0.314835,0.949167,0.315322,0.948985
1.300000,0.277401,0.995048,0.266983,0.963722,0.267499,0.963558
1.350000,0.227648,1.008918,0.218463,0.975867,0.219007,0.975723
1.400000,0.177202,1.020301,0.169396,0.985570,0.169967,0.985450
1.450000,0.126187,1.029161,0.119906,0.992808,0.120503,0.992713
1.500000,0.074729,1.035470,0.070116,0.997562,0.070737,0.997495
1.550000,0.022956,1.039207,0.020150,0.999821,0.020795,0.999784
1.600000,-0.029005,1.040355,-0.029866,0.999579,-0.029200,0.999574
1.650000,-0.081022,1.038904,-0.079808,0.996836,-0.079121,0.996865
1.700000,-0.132968,1.034853,-0.129550,0.991600,-0.128844,0.991665
1.750000,-0.184710,1.028205,-0.178968,0.983883,-0.178246,0.983986
1.800000,-0.236120,1.018969,-0.227938,0.973704,-0.227202,0.973848
